id,family,title,parent_id,status,recovery_confidence,version,stages,heads,architecture_summary,change_from_parent,model_yaml,train_entrypoint,migration_script,init_checkpoint,trainer_class,output_project,output_name,current_run_dir,legacy_run_dir,attempt_count,epochs_completed,epochs_target,test_map50,test_map50_95,manifest
DA-006,DarkAct,LAF 融合后特征精炼版,DA-002,trained,confirmed,v1,"P3,P4,P5",H2-4-8,StaticMAA2D -> C2f/SPPF -> LAF feedback -> fused ZeroInitRefine,在各尺度 LAF 之后、进入 FPN/PAN 之前增加融合特征精炼。,yaml/yolov8s-DarkAct-MAA2D-LAFMerge-Refine-P345-R4-v1.yaml,train_dronevehicle_darkact_maalaf_postlaf_refine.py,tools/make_twostream_obb_weights_darkact_postlaf_refine.py,pre-pth/yolov8s-obb_twostream_darkact_staticmaa_laffeedback_refine_p345_e025_v1.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_StaticMAA2DLAFMergeFeedbackRefine_P345_H2-4-8_RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedbackRefine_P345_H2-4-8_RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedbackRefine_P345_H2-4-8_RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,1,100,100,,,experiments/darkact/manifests/DA-006.yaml
DA-007,DarkAct,无 StaticMAA 的 LAF-only 消融版,DA-002,trained,confirmed,v1,"P3,P4,P5",H2-4-8,C2f/SPPF -> LAFMergeFeedback2D,完全移除 P3/P4/P5 的 StaticMAA2D。,yaml/yolov8s-DarkAct-LAFMergeFeedback2D-P345-R4-NoStaticMAA-v1.yaml,train_dronevehicle_darkact_laffeedback_no_staticmaa.py,tools/make_twostream_obb_weights_darkact_no_staticmaa.py,pre-pth/yolov8s-obb_twostream_darkact_laffeedback2d_p345_r4_no_staticmaa_v1.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_LAFMergeFeedback2D_P345_H2-4-8_R4-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_LAFMergeFeedback2D_P345_H2-4-8_R4-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_LAFMergeFeedback2D_P345_H2-4-8_R4-DW3D1-2-2_v1,1,100,100,,,experiments/darkact/manifests/DA-007.yaml
DA-008,DarkAct,OBB 目标显著性监督与 PaperLAF 版,DA-003,planned,confirmed,v1,"P3,P4,P5",HNA,C2f/SPPF -> supervised target saliency -> full-C PaperLAF feedback,用 OBB mask 监督的单通道目标显著性替换无监督 StaticMAA 输出。,yaml/yolov8s-DarkAct-TargetSaliency-PaperLAF-P345-v1.yaml,train_dronevehicle_darkact_target_saliency.py,tools/make_twostream_obb_weights_darkact_target_saliency.py,pre-pth/yolov8s-obb_twostream_darkact_target_saliency_paperlaf_p345_v1.pt,ultralytics.models.yolo.obb.target_saliency_train:TargetSaliencyOBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS_v1,,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS_v1,0,0,100,,,experiments/darkact/manifests/DA-008.yaml
DA-009,DarkAct,OBB 目标显著性 PaperLAF FP32 注意力安全版,DA-008,tested,confirmed,v2,"P3,P4,P5",HNA,C2f/SPPF -> FP32-safe supervised target saliency -> full-C PaperLAF feedback,仅将 StaticMAAContext2D 内部 matmul/scale/softmax/matmul 改为 FP32，保留 sqrt(active_channels) 缩放与其他结构不变。,yaml/yolov8s-DarkAct-TargetSaliency-PaperLAF-P345-FP32Safe-v2.yaml,train_dronevehicle_darkact_target_saliency_fp32safe.py,tools/make_twostream_obb_weights_darkact_target_saliency_fp32safe.py,pre-pth/yolov8s-obb_twostream_darkact_target_saliency_paperlaf_p345_fp32safe_v2.pt,ultralytics.models.yolo.obb.target_saliency_train:TargetSaliencyOBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn_v2,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn_v2,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn_v2,1,100,100,0.837,0.704,experiments/darkact/manifests/DA-009.yaml
DA-010,DarkAct,OBB 目标显著性 sqrt(HW) 通道注意力版,DA-009,tested,confirmed,v3,"P3,P4,P5",HNA,C2f/SPPF -> FP32 sqrt(HW) target saliency -> full-C PaperLAF feedback,仅将 FP32 目标显著性 attention 的除数从 sqrt(active_channels) 改为 sqrt(H*W)。,yaml/yolov8s-DarkAct-TargetSaliency-PaperLAF-P345-SqrtHW-v3.yaml,train_dronevehicle_darkact_target_saliency_sqrthw.py,tools/make_twostream_obb_weights_darkact_target_saliency_sqrthw.py,pre-pth/yolov8s-obb_twostream_darkact_target_saliency_paperlaf_p345_sqrthw_v3.pt,ultralytics.models.yolo.obb.target_saliency_train:TargetSaliencyOBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-SqrtHW_v3,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-SqrtHW_v3,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-SqrtHW_v3,1,100,100,0.838,0.705,experiments/darkact/manifests/DA-010.yaml
DA-011,DarkAct,OBB 目标显著性 L2 归一化与可学习温度版,DA-009,tested,confirmed,v4,"P3,P4,P5",HNA,C2f/SPPF -> FP32 L2+temperature target saliency -> full-C PaperLAF feedback,Q/K 沿 H*W 做 L2 normalization，以每尺度、每模态一个可学习 tau 替代 sqrt(C) 缩放，V 保持未归一化。,yaml/yolov8s-DarkAct-TargetSaliency-PaperLAF-P345-L2Temp-v4.yaml,train_dronevehicle_darkact_target_saliency_l2temp.py,tools/make_twostream_obb_weights_darkact_target_saliency_l2temp.py,pre-pth/yolov8s-obb_twostream_darkact_target_saliency_paperlaf_p345_l2temp_v4.pt,ultralytics.models.yolo.obb.target_saliency_train:TargetSaliencyOBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-L2Norm-LearnTemp0p2_v4,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-L2Norm-LearnTemp0p2_v4,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-L2Norm-LearnTemp0p2_v4,1,100,100,0.837,0.705,experiments/darkact/manifests/DA-011.yaml
DA-012,DarkAct,LAF-only 的 P3/P4 融合后精炼版,DA-007,tested,confirmed,v1,"P3,P4,P5",H2-4-8,C2f/SPPF -> LAFMergeFeedback2D -> fused Refine(P3/P4 only),仅在 P3/P4 的 LAF fused lateral 后增加零初始化残差 Refine，P5 和两条 backbone 反馈路径不变。,yaml/yolov8s-DarkAct-LAFMergeFeedback2D-Refine-P34-R4-NoStaticMAA-v1.yaml,train_dronevehicle_darkact_laf_refine_p34.py,tools/make_twostream_obb_weights_darkact_laf_refine_p34.py,pre-pth/yolov8s-obb_twostream_darkact_laf_refine_p34_no_staticmaa_v1.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_LAFMergeFeedback2D_RefineP34_H2-4-8_R4-NoStaticMAA_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_LAFMergeFeedback2D_RefineP34_H2-4-8_R4-NoStaticMAA_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_LAFMergeFeedback2D_RefineP34_H2-4-8_R4-NoStaticMAA_v1,1,100,100,0.837,0.707,experiments/darkact/manifests/DA-012.yaml
DA-013,DarkAct,零中心双向 StaticMAA 门控版,DA-002,tested,confirmed,v1,"P3,P4,P5",H2-4-8,zero-centered StaticMAA2D -> C2f/SPPF -> LAFMergeFeedback2D,仅将 StaticMAA2D 的 1+beta*sigmoid(logit) 改为有界的 1+beta*tanh(logit)，位置、容量及 LAF 均不变。,yaml/yolov8s-DarkAct-ZeroCenteredMAA2D-LAFMerge-P345-R4-v1.yaml,train_dronevehicle_darkact_zero_centered_maa.py,tools/make_twostream_obb_weights_darkact_zero_centered_maa.py,pre-pth/yolov8s-obb_twostream_darkact_zerocenteredmaa_laffeedback_p345_v1.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_ZeroCenteredStaticMAA2D_LAFMergeFeedback2D_P345_H2-4-8_R4_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_ZeroCenteredStaticMAA2D_LAFMergeFeedback2D_P345_H2-4-8_R4_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_ZeroCenteredStaticMAA2D_LAFMergeFeedback2D_P345_H2-4-8_R4_v1,1,100,100,0.839,0.705,experiments/darkact/manifests/DA-013.yaml
DA-014,DarkAct,P3/P4 旋转 Soft-Centerness 目标显著性版,DA-010,tested,confirmed,v5,"P3,P4,P5",HNA,P3/P4 soft-centerness supervision -> FP32 sqrt(HW) saliency -> full-C PaperLAF feedback,保持 sqrt(HW) 模块和融合结构不变；将硬 OBB mask 换为旋转 soft-centerness，仅监督 P3/P4，权重为 1.0/0.5，gain 在 10 epoch 内升至 0.025，并记录 gate 统计。,yaml/yolov8s-DarkAct-TargetSaliency-PaperLAF-P34-SoftCenterness-Warmup-v5.yaml,train_dronevehicle_darkact_target_saliency_soft_centerness.py,tools/make_twostream_obb_weights_darkact_target_saliency_soft_centerness.py,pre-pth/yolov8s-obb_twostream_darkact_target_saliency_soft_centerness_p34_warmup_v5.pt,ultralytics.models.yolo.obb.target_saliency_train:SoftCenternessTargetSaliencyOBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_TargetSaliencyPaperLAF_P34SoftCenterness-W1-0p5-Gain0p025-Warmup10-GateStats_v5,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAF_P34SoftCenterness-W1-0p5-Gain0p025-Warmup10-GateStats_v5,DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAF_P34SoftCenterness-W1-0p5-Gain0p025-Warmup10-GateStats_v5,1,100,100,0.836,0.704,experiments/darkact/manifests/DA-014.yaml
DA-015,DarkAct,P3/P4 差异感知 LAF 残差版,DA-004,tested,confirmed,v1,"P3,P4,P5",H2-4-8,Post-C2f StaticMAA -> disagreement-aware LAF(P3/P4); original LAF(P5),仅在 P3/P4 的原 LAF 输出上增加零初始化的轻量差异残差；P5、StaticMAA、Neck 和检测头保持不变。,yaml/yolov8s-DarkAct-PostC2f-DisagreementLAF-P34-R4-v1.yaml,train_dronevehicle_darkact_disagreement_laf_p34.py,tools/make_darkact_da015_checkpoint.py,pre-pth/yolov8s-obb_twostream_darkact_da015_disagreement_laf_p34.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_DA015_PostC2f_DisagreementLAF_P34_H2-4-8_R4_v1,runs/DroneVehicle_OBB_FusionTransfer/DarkAct_DA015_PostC2f_DisagreementLAF_P34_H2-4-8_R4_v1,,1,100,100,0.84,0.708,experiments/darkact/manifests/DA-015.yaml
DA-016,DarkAct,P3/P4 四权重语义分歧 LAF 残差版,DA-007,created,confirmed,v1,"P3,P4,P5",H2-4-8,semantic-disagreement LAF(P3/P4); original LAF(P5); no StaticMAA,仅将 P3/P4 的普通 LAF 替换为零初始化四权重语义分歧残差 LAF；P5、Neck、检测头、训练与增强策略完全不变。,yaml/yolov8s-DarkAct-SemanticDisagreementLAF-P34-R4-NoStaticMAA-v1.yaml,train_dronevehicle_darkact_semantic_disagreement_laf_p34.py,tools/make_darkact_da016_checkpoint.py,pre-pth/yolov8s-obb_twostream_darkact_da016_semantic_disagreement_laf_p34.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_DA016_SemanticDisagreementLAF_P34_H2-4-8_R4-NoStaticMAA_v1,runs/DroneVehicle_OBB_FusionTransfer/DarkAct_DA016_SemanticDisagreementLAF_P34_H2-4-8_R4-NoStaticMAA_v1,,1,100,100,0.841,0.708,experiments/darkact/manifests/DA-016.yaml
PHG-001,ProtoHGFNet,P3/P4/P5 硬 top-k 原型超图融合,BL-001,created,confirmed,v1,"P3,P4,P5",K6-k3-hard,hard top-k prototype hypergraph fusion on P3/P4/P5,仅将 baseline 的 P3/P4/P5 ADD 替换为 K=6、k=3 的低秩 ProtoHypergraphFusion；其余架构和训练配置不变。,yaml/protohgf_hard_p345.yaml,train_dronevehicle_protohgf_hard_p345.py,tools/make_protohgfnet_checkpoints_from_baseline.py,pre-pth/yolov8s-obb_twostream_protohgf_hard_p345.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_ProtoHGFNet,ProtoHGF_PHG001_HardK6K3_P345_v1,,,0,0,100,,,experiments/protohgfnet/manifests/PHG-001.yaml
PHG-002,ProtoHGFNet,P3/P4 硬 top-k 原型超图，P5 保留 ADD,PHG-001,created,confirmed,v1,"P3,P4",K6-k3-hard,hard top-k prototype hypergraph fusion on P3/P4; ADD on P5,P3/P4 与 PHG-001 相同，P5 恢复 baseline ADD。,yaml/protohgf_hard_p34.yaml,train_dronevehicle_protohgf_hard_p34.py,tools/make_protohgfnet_checkpoints_from_baseline.py,pre-pth/yolov8s-obb_twostream_protohgf_hard_p34.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_ProtoHGFNet,ProtoHGF_PHG002_HardK6K3_P34_v1,,,0,0,100,,,experiments/protohgfnet/manifests/PHG-002.yaml
PHG-003,ProtoHGFNet,P3/P4/P5 软 top-k 原型关系对照,PHG-001,created,confirmed,v1,"P3,P4,P5",K6-k3-soft,soft-weighted top-k prototype hypergraph fusion on P3/P4/P5,保持 K=6、k=3 和 P3/P4/P5 位置不变，仅将二值关系改为 top-k 内 softmax 权重。,yaml/protohgf_soft_p345.yaml,train_dronevehicle_protohgf_soft_p345.py,tools/make_protohgfnet_checkpoints_from_baseline.py,pre-pth/yolov8s-obb_twostream_protohgf_soft_p345.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_ProtoHGFNet,ProtoHGF_PHG003_SoftK6K3_P345_v1,,,0,0,100,,,experiments/protohgfnet/manifests/PHG-003.yaml
